w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
1,3,1.15925e+00,2.32500e+00,4.99227e-03,8.12747e-04
2,3,1.17775e+00,2.32500e+00,7.68526e-03,1.24779e-03
3,3,1.19625e+00,2.32500e+00,1.02808e-02,1.80363e-03
4,3,1.21475e+00,2.32500e+00,1.14302e-02,2.24227e-03
5,3,1.23325e+00,2.32500e+00,1.08596e-02,2.30305e-03
6,3,1.25175e+00,2.32500e+00,9.65364e-03,2.11577e-03
7,3,1.27025e+00,2.32500e+00,8.67205e-03,1.91670e-03
8,3,1.28875e+00,2.32500e+00,8.13369e-03,1.78935e-03
9,3,1.30725e+00,2.32500e+00,7.96299e-03,1.73289e-03
10,3,1.32575e+00,2.32500e+00,8.02115e-03,1.73006e-03
11,3,1.34425e+00,2.32500e+00,8.18959e-03,1.76655e-03
12,3,1.36275e+00,2.32500e+00,8.39967e-03,1.83343e-03
13,3,1.38125e+00,2.32500e+00,8.64024e-03,1.92656e-03
14,3,1.39975e+00,2.32500e+00,8.95251e-03,2.04654e-03
15,3,1.41825e+00,2.32500e+00,9.42642e-03,2.20006e-03
16,3,1.43675e+00,2.32500e+00,1.02158e-02,2.40401e-03
17,3,1.45525e+00,2.32500e+00,1.15701e-02,2.69315e-03
18,3,1.47375e+00,2.32500e+00,1.37324e-02,3.11849e-03
19,3,1.49225e+00,2.32500e+00,1.59991e-02,3.64141e-03
20,3,1.51075e+00,2.32500e+00,1.60183e-02,3.88394e-03
21,3,1.52925e+00,2.32500e+00,1.40727e-02,3.68439e-03
22,3,1.54775e+00,2.32500e+00,1.24069e-02,3.45372e-03
23,3,1.56625e+00,2.32500e+00,1.15213e-02,3.35393e-03
24,3,1.58475e+00,2.32500e+00,1.12038e-02,3.35687e-03
25,3,1.60325e+00,2.32500e+00,1.12837e-02,3.42806e-03
26,3,1.62175e+00,2.32500e+00,1.17049e-02,3.55433e-03
27,3,1.64025e+00,2.32500e+00,1.24902e-02,3.74152e-03
28,3,1.65875e+00,2.32500e+00,1.36571e-02,4.00917e-03
29,3,1.67725e+00,2.32500e+00,1.49539e-02,4.35442e-03
30,3,1.69575e+00,2.32500e+00,1.54722e-02,4.63289e-03
31,3,1.71425e+00,2.32500e+00,1.46777e-02,4.63041e-03
32,3,1.73275e+00,2.32500e+00,1.34959e-02,4.46808e-03
33,3,1.75125e+00,2.32500e+00,1.26339e-02,4.34381e-03
34,3,1.76975e+00,2.32500e+00,1.21288e-02,4.29093e-03
35,3,1.78825e+00,2.32500e+00,1.18545e-02,4.28675e-03
36,3,1.80675e+00,2.32500e+00,1.17090e-02,4.31039e-03
37,3,1.82525e+00,2.32500e+00,1.16270e-02,4.34910e-03
38,3,1.84375e+00,2.32500e+00,1.15673e-02,4.39552e-03
